term_key,campaign_name,ad_group_name,impressions_ads_detail,clicks_ads_detail,cost_ads_detail,conversions_ads_detail,search_budget_lost_impression_share_detail,ctr_ads_detail,avg_cpc_ads_detail,cpa_ads_detail,detail_recommendation
345 cream original,WG_Search | Soluções | nbd,search | creme coreano para o rosto,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
345 cream original,WG_Search | Soluções | nbd,search | produtos de skincare,2,1,0.355378,0.0,0.0793697977877321,0.5,0.355378,,monitorar
345 cream original,WG_Shopping | Best Sellers | nbd,shopping | best sellers,2,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
345 relief cream,WG_Search | Soluções | nbd,search | creme coreano para o rosto,5,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
345 relief cream,WG_Search | Soluções | nbd,search | produtos coreanos para pele,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
345 relief cream,WG_Search | Soluções | nbd,search | produtos de skincare,22,1,0.995809,0.0,0.0793697977877321,0.045454545454545456,0.995809,,monitorar
345 relief cream,WG_Search | Soluções | nbd,search | skin care coreano,2,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
345 relief cream,WG_Shopping | Best Sellers | nbd,shopping | best sellers,91,1,0.86,0.0,0.1216678938796651,0.01098901098901099,0.86,,monitorar
345 relief cream,WG_Shopping | Portfólio Geral | nbd,todos,7,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
5a retinol,WG_Shopping | Best Sellers | nbd,shopping | best sellers,6,1,1.06,0.0,0.1216678938796651,0.16666666666666666,1.06,,monitorar
5a retinol,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
a kokeshi é confiável,WG_Search | Institucional | bd,search_kokeshi,10,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
a linha kokeshi é boa,WG_Search | Institucional | bd,search_kokeshi,21,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
a linha kokeshi é boa,WG_Search | Institucional | bd,search_kokeshi | óleo de rosa mosqueta,1,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
a marca kokeshi é boa,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana,4,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
a marca kokeshi é boa,WG_Search | Institucional | bd,search_kokeshi,31,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
a marca kokeshi é confiável,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana,1,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
a marca kokeshi é confiável,WG_Search | Institucional | bd,search_kokeshi,5,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
a marca kokeshi é coreana,WG_Search | Institucional | bd,search_kokeshi,5,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
abib colageno,WG_Shopping | Best Sellers | nbd,shopping | best sellers,1,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
abib colageno,WG_Shopping | Portfólio Geral | nbd,todos,3,1,0.28,0.0,0.0019842830030239,0.3333333333333333,0.28,,monitorar
abib collagen eye patch,WG_Search | Soluções | nbd,search | produtos de skincare,6,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
abib collagen eye patch,WG_Shopping | Best Sellers | nbd,shopping | best sellers,25,1,0.73,0.0,0.1216678938796651,0.04,0.73,,monitorar
abib collagen eye patch,WG_Shopping | Portfólio Geral | nbd,todos,11,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
acabar com olheiras,WG_Search | Soluções | nbd,search | produtos de skincare,2,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
acabar com olheiras,WG_Shopping | Best Sellers | nbd,shopping | best sellers,55,1,0.42,0.0,0.1216678938796651,0.01818181818181818,0.42,,monitorar
acabar com olheiras,WG_Shopping | Portfólio Geral | nbd,todos,8,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
acessórios cabelo,WG_Shopping | Portfólio Geral | nbd,todos,1,1,0.44,0.0,0.0019842830030239,1.0,0.44,,monitorar
acido coreano para manchas,WG_Search | Soluções | nbd,search | produtos coreanos para pele,3,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
acido coreano para manchas,WG_Shopping | Best Sellers | nbd,shopping | best sellers,17,1,0.37,0.0,0.1216678938796651,0.058823529411764705,0.37,,monitorar
acido coreano para manchas,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
acido hialuronico,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
acido hialuronico,WG_Shopping | Best Sellers | nbd,shopping | best sellers,7,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
acido hialuronico,WG_Shopping | Portfólio Geral | nbd,todos,26,1,1.59,0.0,0.0019842830030239,0.038461538461538464,1.59,,monitorar
acido hialurônico facial,WG_Shopping | Best Sellers | nbd,shopping | best sellers,35,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
acido hialurônico facial,WG_Shopping | Portfólio Geral | nbd,todos,34,1,0.52,0.0,0.0019842830030239,0.029411764705882353,0.52,,monitorar
acido kojico,WG_Search | Soluções | nbd,search | produtos de skincare,8,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
acido kojico,WG_Shopping | Best Sellers | nbd,shopping | best sellers,29,1,1.59,0.0,0.1216678938796651,0.034482758620689655,1.59,,monitorar
acido kojico,WG_Shopping | Portfólio Geral | nbd,todos,32,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
acido kojico coreano,WG_Shopping | Best Sellers | nbd,shopping | best sellers,1,1,0.34,0.0,0.1216678938796651,1.0,0.34,,monitorar
acido kojico coreano,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
acido kojico creamy,WG_Shopping | Portfólio Geral | nbd,todos,2,2,0.76,0.0,0.0019842830030239,1.0,0.38,,monitorar
acido mandelico,WG_Search | Soluções | nbd,search | produtos de skincare,31,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
acido mandelico,WG_Shopping | Best Sellers | nbd,shopping | best sellers,139,1,0.43,0.0,0.1216678938796651,0.007194244604316547,0.43,,monitorar
acido mandelico,WG_Shopping | Portfólio Geral | nbd,todos,63,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
acido para rugas e linhas de expressão,WG_Shopping | Best Sellers | nbd,shopping | best sellers,8,1,1.18,0.0,0.1216678938796651,0.125,1.18,,monitorar
acido para rugas e linhas de expressão,WG_Shopping | Portfólio Geral | nbd,todos,2,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
acido principia para olheiras,WG_Shopping | Best Sellers | nbd,shopping | best sellers,3,1,0.79,0.0,0.1216678938796651,0.3333333333333333,0.79,,monitorar
acido retinoico olhos,WG_Shopping | Best Sellers | nbd,shopping | best sellers,1,1,1.08,0.0,0.1216678938796651,1.0,1.08,,monitorar
acido retinoico rosto,WG_Shopping | Best Sellers | nbd,shopping | best sellers,14,1,1.33,0.0,0.1216678938796651,0.07142857142857142,1.33,,monitorar
acido retinoico rosto,WG_Shopping | Portfólio Geral | nbd,todos,4,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
acido retinol,WG_Search | Soluções | nbd,search | produtos de skincare,2,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
acido retinol,WG_Shopping | Best Sellers | nbd,shopping | best sellers,128,1,0.16,0.0,0.1216678938796651,0.0078125,0.16,,monitorar
acido retinol,WG_Shopping | Portfólio Geral | nbd,todos,26,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
acido retinol creamy,WG_Shopping | Best Sellers | nbd,shopping | best sellers,12,1,0.31,0.0,0.1216678938796651,0.08333333333333333,0.31,,monitorar
acidos para o rosto,WG_Search | Soluções | nbd,search | produtos de skincare,2,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
acidos para o rosto,WG_Shopping | Best Sellers | nbd,shopping | best sellers,79,1,1.02,0.0,0.1216678938796651,0.012658227848101266,1.02,,monitorar
acidos para o rosto,WG_Shopping | Portfólio Geral | nbd,todos,12,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
acidos para pele,WG_Shopping | Best Sellers | nbd,shopping | best sellers,6,1,1.09,0.0,0.1216678938796651,0.16666666666666666,1.09,,monitorar
acidos para pele,WG_Shopping | Portfólio Geral | nbd,todos,9,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
acne,WG_Shopping | Best Sellers | nbd,shopping | best sellers,6,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
acne,WG_Shopping | Portfólio Geral | nbd,todos,2,2,11.28,0.0,0.0019842830030239,1.0,5.64,,monitorar
acniben espuma de limpeza facial,WG_Shopping | Portfólio Geral | nbd,todos,1,1,0.66,0.0,0.0019842830030239,1.0,0.66,,monitorar
acordar com bolsa embaixo dos olhos,WG_Shopping | Best Sellers | nbd,shopping | best sellers,2,1,0.31,0.0,0.1216678938796651,0.5,0.31,,monitorar
ada tina clareador,WG_Shopping | Best Sellers | nbd,shopping | best sellers,1,1,0.18,0.0,0.1216678938796651,1.0,0.18,,monitorar
adapaleno,WG_Search | Soluções | nbd,search | produtos de skincare,4,1,9.034523,0.0,0.0793697977877321,0.25,9.034523,,monitorar
adcos,WG_Search | Soluções | nbd,search | produtos de skincare,6,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
adcos,WG_Shopping | Best Sellers | nbd,shopping | best sellers,639,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
adcos,WG_Shopping | Portfólio Geral | nbd,todos,74,1,1.28,0.0,0.0019842830030239,0.013513513513513514,1.28,,monitorar
adcos collagen filler up,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
adcos collagen filler up,WG_Shopping | Best Sellers | nbd,shopping | best sellers,10,1,1.43,0.0,0.1216678938796651,0.1,1.43,,monitorar
adcos collagen filler up,WG_Shopping | Portfólio Geral | nbd,todos,6,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
adesivo estrelinha para espinha,WG_Search | Soluções | nbd,search | produtos de skincare,1,1,2.31,0.0,0.0793697977877321,1.0,2.31,,monitorar
adesivo olheiras,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
adesivo olheiras,WG_Shopping | Best Sellers | nbd,shopping | best sellers,43,1,0.49,0.0,0.1216678938796651,0.023255813953488372,0.49,,monitorar
adesivo olheiras,WG_Shopping | Portfólio Geral | nbd,todos,13,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
adesivo para olheiras,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
adesivo para olheiras,WG_Shopping | Best Sellers | nbd,shopping | best sellers,119,3,2.11,0.0,0.1216678938796651,0.025210084033613446,0.7033333333333333,,monitorar
adesivo para olheiras,WG_Shopping | Portfólio Geral | nbd,todos,28,1,1.74,0.0,0.0019842830030239,0.03571428571428571,1.74,,monitorar
adesivo secativo de espinha,WG_Search | Soluções | nbd,search | produtos de skincare,1,1,1.66,0.0,0.0793697977877321,1.0,1.66,,monitorar
adesivos para olheiras,WG_Shopping | Best Sellers | nbd,shopping | best sellers,41,1,0.73,0.0,0.1216678938796651,0.024390243902439025,0.73,,monitorar
adesivos para olheiras,WG_Shopping | Portfólio Geral | nbd,todos,4,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
adeus clareador de manchas banana,WG_Shopping | Portfólio Geral | nbd,todos,1,1,0.62,0.0,0.0019842830030239,1.0,0.62,,monitorar
adeus creme rosa,WG_Shopping | Best Sellers | nbd,shopping | best sellers,2,1,1.09,0.0,0.1216678938796651,0.5,1.09,,monitorar
adeus frizz,WG_Shopping | Portfólio Geral | nbd,todos,15,1,0.18,0.0,0.0019842830030239,0.06666666666666667,0.18,,monitorar
adeus frizz kokeshi,WG_Search | Institucional | bd,search_kokeshi,2,1,0.89283,0.0,0.0016114096553333,0.5,0.89283,,monitorar
adeus tratamento intensivo para pele,WG_Search | Soluções | nbd,search | produtos de skincare,8,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
adeus tratamento intensivo para pele,WG_Shopping | Best Sellers | nbd,shopping | best sellers,27,1,1.28,1.0,0.1216678938796651,0.037037037037037035,1.28,1.28,manter_otimizar_neste_grupo
adeus tratamento intensivo para pele,WG_Shopping | Portfólio Geral | nbd,todos,4,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
advanced snail 92 all in one cream,WG_Search | Soluções | nbd,search | produtos de skincare,4,1,1.842028,0.0,0.0793697977877321,0.25,1.842028,,monitorar
advanced snail 92 all in one cream,WG_Shopping | Best Sellers | nbd,shopping | best sellers,4,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
agua de arroz no rosto,WG_Search | Soluções | nbd,search | produtos de skincare,7,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
agua de arroz no rosto,WG_Shopping | Best Sellers | nbd,shopping | best sellers,56,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
agua de arroz no rosto,WG_Shopping | Portfólio Geral | nbd,todos,8,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
agua de arroz para pele,WG_Search | Soluções | nbd,search | produtos de skincare,4,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
agua de arroz para pele,WG_Shopping | Best Sellers | nbd,shopping | best sellers,86,1,0.38,0.0,0.1216678938796651,0.011627906976744186,0.38,,monitorar
agua de arroz para pele,WG_Shopping | Portfólio Geral | nbd,todos,40,2,0.94,0.0,0.0019842830030239,0.05,0.47,,monitorar
agua de arroz pele,WG_Search | Soluções | nbd,search | produtos de skincare,2,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
agua de arroz pele,WG_Shopping | Best Sellers | nbd,shopping | best sellers,9,1,2.49,1.0,0.1216678938796651,0.1111111111111111,2.49,2.49,manter_otimizar_neste_grupo
agua de arroz pele,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
agua de banho boticario,WG_Shopping | Portfólio Geral | nbd,todos,1,1,0.21,0.0,0.0019842830030239,1.0,0.21,,monitorar
agua micelar coreana,WG_Search | Soluções | nbd,search | produtos coreanos para pele,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
agua micelar coreana,WG_Shopping | Best Sellers | nbd,shopping | best sellers,7,1,0.55,0.0,0.1216678938796651,0.14285714285714285,0.55,,monitorar
agua micelar kokeshi,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana,1,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
agua micelar kokeshi,WG_Search | Institucional | bd,search_kokeshi,24,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
albina cosmetics,WG_Search | Soluções | nbd,search | produtos de skincare,2,1,1.173477,0.0,0.0793697977877321,0.5,1.173477,,monitorar
alive skincare,WG_Shopping | Best Sellers | nbd,shopping | best sellers,1,1,0.38,0.0,0.1216678938796651,1.0,0.38,,monitorar
alive skincare,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
alleva skin,WG_Search | Soluções | nbd,search | produtos de skincare,13,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
alleva skin,WG_Shopping | Best Sellers | nbd,shopping | best sellers,14,1,0.3,0.0,0.1216678938796651,0.07142857142857142,0.3,,monitorar
alleva skin,WG_Shopping | Portfólio Geral | nbd,todos,6,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
alobela site oficial,WG_Search | Soluções | nbd,search | produtos de skincare,1,1,1.77,0.0,0.0793697977877321,1.0,1.77,,monitorar
alobela site oficial,WG_Shopping | Best Sellers | nbd,shopping | best sellers,3,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
alobela site oficial,WG_Shopping | Portfólio Geral | nbd,todos,11,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
aloe vera para o rosto,WG_Shopping | Best Sellers | nbd,shopping | best sellers,10,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
aloe vera para o rosto,WG_Shopping | Portfólio Geral | nbd,todos,4,1,0.35,0.0,0.0019842830030239,0.25,0.35,,monitorar
altheostem,WG_Shopping | Best Sellers | nbd,shopping | best sellers,53,1,1.26,0.0,0.1216678938796651,0.018867924528301886,1.26,,monitorar
altheostem,WG_Shopping | Portfólio Geral | nbd,todos,46,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
amenizador de olheiras,WG_Shopping | Best Sellers | nbd,shopping | best sellers,3,1,0.29,0.0,0.1216678938796651,0.3333333333333333,0.29,,monitorar
amos cosméticos,WG_Shopping | Best Sellers | nbd,shopping | best sellers,2,1,2.52,0.0,0.1216678938796651,0.5,2.52,,monitorar
anna pegova,WG_Shopping | Best Sellers | nbd,shopping | best sellers,825,6,2.63,0.0,0.1216678938796651,0.007272727272727273,0.4383333333333333,,monitorar
anna pegova,WG_Shopping | Portfólio Geral | nbd,todos,90,1,0.5,0.0,0.0019842830030239,0.011111111111111112,0.5,,monitorar
antes e depois olheiras,WG_Search | Soluções | nbd,search | produtos de skincare,2,1,3.8,0.0,0.0793697977877321,0.5,3.8,,monitorar
antes e depois olheiras,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
anti cravos,WG_Search | Soluções | nbd,search | produtos de skincare,2,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
anti cravos,WG_Shopping | Best Sellers | nbd,shopping | best sellers,5,1,0.47,0.0,0.1216678938796651,0.2,0.47,,monitorar
anti frizz,WG_Shopping | Portfólio Geral | nbd,todos,32,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
anti frizz cera,WG_Shopping | Portfólio Geral | nbd,todos,18,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
anti idade,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
anti idade,WG_Shopping | Best Sellers | nbd,shopping | best sellers,241,1,0.94,0.0,0.1216678938796651,0.004149377593360996,0.94,,monitorar
anti idade,WG_Shopping | Portfólio Geral | nbd,todos,98,2,2.15,0.0,0.0019842830030239,0.02040816326530612,1.075,,monitorar
anti idade coreano,WG_Search | Soluções | nbd,search | produtos coreanos para pele,3,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
anti idade coreano,WG_Search | Soluções | nbd,search | skin care coreano,9,1,0.66,0.0,0.0793697977877321,0.1111111111111111,0.66,,monitorar
anti idade coreano,WG_Shopping | Best Sellers | nbd,shopping | best sellers,86,5,4.45,0.0,0.1216678938796651,0.05813953488372093,0.89,,monitorar
anti idade coreano,WG_Shopping | Portfólio Geral | nbd,todos,46,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
anti idade creamy,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
anti idade creamy,WG_Shopping | Best Sellers | nbd,shopping | best sellers,8,1,0.26,0.0,0.1216678938796651,0.125,0.26,,monitorar
anti idade creamy,WG_Shopping | Portfólio Geral | nbd,todos,2,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
anti mancha rosto,WG_Shopping | Best Sellers | nbd,shopping | best sellers,4,1,0.63,0.0,0.1216678938796651,0.25,0.63,,monitorar
anti mancha rosto,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
anti manchas coreano,WG_Shopping | Best Sellers | nbd,shopping | best sellers,14,1,0.43,0.0,0.1216678938796651,0.07142857142857142,0.43,,monitorar
anti manchas coreano,WG_Shopping | Portfólio Geral | nbd,todos,4,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
anti manchas facial,WG_Shopping | Best Sellers | nbd,shopping | best sellers,66,1,0.75,0.0,0.1216678938796651,0.015151515151515152,0.75,,monitorar
anti manchas facial,WG_Shopping | Portfólio Geral | nbd,todos,26,2,1.2,1.0,0.0019842830030239,0.07692307692307693,0.6,1.2,manter_otimizar_neste_grupo
anti manchas rosto,WG_Shopping | Best Sellers | nbd,shopping | best sellers,38,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
anti manchas rosto,WG_Shopping | Portfólio Geral | nbd,todos,10,1,0.41,0.0,0.0019842830030239,0.1,0.41,,monitorar
anti oleosidade rosto,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
anti oleosidade rosto,WG_Shopping | Best Sellers | nbd,shopping | best sellers,7,1,0.49,0.0,0.1216678938796651,0.14285714285714285,0.49,,monitorar
anti olheira,WG_Search | Soluções | nbd,search | creme para olheiras,7,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
anti olheira,WG_Shopping | Best Sellers | nbd,shopping | best sellers,397,9,7.94,0.0,0.1216678938796651,0.022670025188916875,0.8822222222222222,,monitorar
anti olheira,WG_Shopping | Portfólio Geral | nbd,todos,48,2,1.44,0.0,0.0019842830030239,0.041666666666666664,0.72,,monitorar
anti olheiras,WG_Search | Soluções | nbd,search | creme para olheiras,2,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
anti olheiras,WG_Shopping | Best Sellers | nbd,shopping | best sellers,228,3,1.89,0.0,0.1216678938796651,0.013157894736842105,0.63,,monitorar
anti olheiras,WG_Shopping | Portfólio Geral | nbd,todos,30,1,0.72,0.0,0.0019842830030239,0.03333333333333333,0.72,,monitorar
anti olheiras coreano,WG_Search | Soluções | nbd,search | creme para olheiras,4,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
anti olheiras coreano,WG_Shopping | Best Sellers | nbd,shopping | best sellers,14,1,1.69,0.0,0.1216678938796651,0.07142857142857142,1.69,,monitorar
anti olheiras coreano,WG_Shopping | Portfólio Geral | nbd,todos,2,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
anti pigment eucerin,WG_Shopping | Best Sellers | nbd,shopping | best sellers,7,2,2.62,0.0,0.1216678938796651,0.2857142857142857,1.31,,monitorar
anti pigment eucerin,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
anti ruga,WG_Shopping | Best Sellers | nbd,shopping | best sellers,27,2,0.69,0.0,0.1216678938796651,0.07407407407407407,0.345,,monitorar
anti ruga,WG_Shopping | Portfólio Geral | nbd,todos,5,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
anti rugas,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
anti rugas,WG_Shopping | Best Sellers | nbd,shopping | best sellers,368,4,2.71,0.0,0.1216678938796651,0.010869565217391304,0.6775,,monitorar
anti rugas,WG_Shopping | Portfólio Geral | nbd,todos,86,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
anti rugas colo e pescoço,WG_Shopping | Best Sellers | nbd,shopping | best sellers,17,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
anti rugas colo e pescoço,WG_Shopping | Portfólio Geral | nbd,todos,5,1,2.39,0.0,0.0019842830030239,0.2,2.39,,monitorar
anti rugas coreano,WG_Search | Soluções | nbd,search | creme coreano para o rosto,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
anti rugas coreano,WG_Search | Soluções | nbd,search | produtos coreanos para pele,3,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
anti rugas coreano,WG_Search | Soluções | nbd,search | skin care coreano,8,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
anti rugas coreano,WG_Shopping | Best Sellers | nbd,shopping | best sellers,144,2,1.85,0.0,0.1216678938796651,0.013888888888888888,0.925,,monitorar
anti rugas coreano,WG_Shopping | Portfólio Geral | nbd,todos,60,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
anti sinais,WG_Shopping | Best Sellers | nbd,shopping | best sellers,195,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
anti sinais,WG_Shopping | Portfólio Geral | nbd,todos,77,1,0.71,0.0,0.0019842830030239,0.012987012987012988,0.71,,monitorar
anti sinais area dos olhos,WG_Shopping | Best Sellers | nbd,shopping | best sellers,6,1,0.62,0.0,0.1216678938796651,0.16666666666666666,0.62,,monitorar
anti sinais area dos olhos,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
antiacne,WG_Search | Soluções | nbd,search | produtos de skincare,4,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
antiacne,WG_Shopping | Best Sellers | nbd,shopping | best sellers,48,1,0.6,0.0,0.1216678938796651,0.020833333333333332,0.6,,monitorar
antiacne,WG_Shopping | Portfólio Geral | nbd,todos,7,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
antimanchas,WG_Shopping | Best Sellers | nbd,shopping | best sellers,26,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
antimanchas,WG_Shopping | Portfólio Geral | nbd,todos,7,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
antimanchas facial,WG_Shopping | Best Sellers | nbd,shopping | best sellers,48,1,0.73,0.0,0.1216678938796651,0.020833333333333332,0.73,,monitorar
antimanchas facial,WG_Shopping | Portfólio Geral | nbd,todos,9,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
antiolheira,WG_Shopping | Best Sellers | nbd,shopping | best sellers,30,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
antiolheira,WG_Shopping | Portfólio Geral | nbd,todos,25,1,0.3,1.0,0.0019842830030239,0.04,0.3,0.3,manter_otimizar_neste_grupo
antiolheiras,WG_Search | Soluções | nbd,search | creme para olheiras,23,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
antiolheiras,WG_Shopping | Best Sellers | nbd,shopping | best sellers,379,7,4.52,0.0,0.1216678938796651,0.018469656992084433,0.6457142857142857,,monitorar
antiolheiras,WG_Shopping | Portfólio Geral | nbd,todos,58,1,2.04,0.0,0.0019842830030239,0.017241379310344827,2.04,,monitorar
antioxidante para melasma,WG_Shopping | Best Sellers | nbd,shopping | best sellers,8,1,1.02,0.0,0.1216678938796651,0.125,1.02,,monitorar
antioxidante para melasma,WG_Shopping | Portfólio Geral | nbd,todos,3,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
antioxidante para o rosto,WG_Search | Soluções | nbd,search | produtos de skincare,3,1,1.620125,0.0,0.0793697977877321,0.3333333333333333,1.620125,,monitorar
antioxidante para o rosto,WG_Shopping | Best Sellers | nbd,shopping | best sellers,31,2,1.81,0.0,0.1216678938796651,0.06451612903225806,0.905,,monitorar
antioxidante para o rosto,WG_Shopping | Portfólio Geral | nbd,todos,11,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
antioxidante para pele,WG_Search | Soluções | nbd,search | produtos de skincare,7,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
antioxidante para pele,WG_Shopping | Best Sellers | nbd,shopping | best sellers,70,2,1.96,0.0,0.1216678938796651,0.02857142857142857,0.98,,monitorar
antioxidante para pele,WG_Shopping | Portfólio Geral | nbd,todos,16,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
antioxidante sallve,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
antioxidante sallve,WG_Shopping | Best Sellers | nbd,shopping | best sellers,4,1,0.48,0.0,0.1216678938796651,0.25,0.48,,monitorar
antirrugas natural,WG_Shopping | Best Sellers | nbd,shopping | best sellers,1,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
